"movieId","title","genres"
1,Toy Story (1995),Приключения|Анимация|Детский|Комедия|Фэнтези
2,Jumanji (1995),Приключения|Детский|Фэнтези
3,Grumpier Old Men (1995),Комедия|Романтика
4,Waiting to Exhale (1995),Комедия|Драма|Романтика
5,Father of the Bride Part II (1995),Комедия
6,Heat (1995),Боевик|Криминал|Триллер
7,Sabrina (1995),Комедия|Романтика
8,Tom and Huck (1995),Приключения|Детский
9,Sudden Death (1995),Боевик
10,GoldenEye (1995),Боевик|Приключения|Триллер
11,"American President, The (1995)",Комедия|Драма|Романтика
12,Dracula: Dead and Loving It (1995),Комедия|Ужасы
13,Balto (1995),Приключения|Анимация|Детский
14,Nixon (1995),Драма
15,Cutthroat Island (1995),Боевик|Приключения|Романтика
16,Casino (1995),Криминал|Драма
17,Sense and Sensibility (1995),Драма|Романтика
18,Four Rooms (1995),Комедия
19,Ace Ventura: When Nature Calls (1995),Комедия
20,Money Train (1995),Боевик|Комедия|Криминал|Драма|Триллер
21,Get Shorty (1995),Комедия|Криминал|Триллер
22,Copycat (1995),Криминал|Драма|Ужасы|Мистика|Триллер
23,Assassins (1995),Боевик|Криминал|Триллер
24,Powder (1995),Драма|Научная фантастика
25,Leaving Las Vegas (1995),Драма|Романтика
26,Othello (1995),Драма
27,Now and Then (1995),Детский|Драма
28,Persuasion (1995),Драма|Романтика
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Приключения|Драма|Фэнтези|Мистика|Научная фантастика
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Криминал|Драма
31,Dangerous Minds (1995),Драма
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Мистика|Научная фантастика|Триллер
33,Wings of Courage (1995),Приключения|Романтика|IMAX
34,Babe (1995),Детский|Драма
35,Carrington (1995),Драма|Романтика
36,Dead Man Walking (1995),Криминал|Драма
37,Across the Sea of Time (1995),Документальный|IMAX
38,It Takes Two (1995),Детский|Комедия
39,Clueless (1995),Комедия|Романтика
40,"Cry, the Beloved Country (1995)",Драма
41,Richard III (1995),Драма|Военный
42,Dead Presidents (1995),Боевик|Криминал|Драма
43,Restoration (1995),Драма
44,Mortal Kombat (1995),Боевик|Приключения|Фэнтези
45,To Die For (1995),Комедия|Драма|Триллер
46,How to Make an American Quilt (1995),Драма|Романтика
47,Seven (a.k.a. Se7en) (1995),Мистика|Триллер
48,Pocahontas (1995),Анимация|Детский|Драма|Мюзикл|Романтика
49,When Night Is Falling (1995),Драма|Романтика
50,"Usual Suspects, The (1995)",Криминал|Мистика|Триллер
51,Guardian Angel (1994),Боевик|Драма|Триллер
52,Mighty Aphrodite (1995),Комедия|Драма|Романтика
